date,debit,free_credit_cash,free_credit_margin,total_free_credit,gdp_b,mktcap_m,debt_gdp_pct,debt_mktcap_pct,net_leverage
2006-05-01,255608,264307,,,13753.424,22483895.0,1.8585044713229228,1.1368492870118811,
2006-06-01,251495,280275,,,13753.424,22483895.0,1.8285991910087265,1.1185561932218595,
2006-07-01,256016,269376,,,13870.188,23267732.0,1.8458005039297232,1.1003049201357484,
2006-08-01,249368,269423,,,13870.188,23267732.0,1.7978703677268109,1.071733162475827,
2006-09-01,261769,268612,,,13870.188,23267732.0,1.8872779518201197,1.1250301490493357,
2006-10-01,267710,267462,,,14039.56,24974734.0,1.9068261398505366,1.071923328592809,
2006-11-01,294899,290910,,,14039.56,24974734.0,2.1004860551185365,1.180789352951667,
2006-12-01,303288,299023,,,14039.56,24974734.0,2.1602386399573774,1.2143793002960512,
2007-01-01,311506,292521,,,14215.651,25748255.0,2.1912890236261426,1.2098140242901896,
2007-02-01,321171,300072,,,14215.651,25748255.0,2.2592774681933316,1.2473505486099932,
2007-03-01,317737,305479,,,14215.651,25748255.0,2.235120994458854,1.2340137224833296,
2007-04-01,342084,314744,,,14402.082,26987336.0,2.3752399132292124,1.267572316141171,
2007-05-01,382312,334359,,,14402.082,26987336.0,2.654560639218691,1.4166348245710507,
2007-06-01,408444,347617,,,14402.082,26987336.0,2.8360066273751254,1.5134654268950445,
2007-07-01,416403,380971,,,14564.117,27350673.0,2.859102271699685,1.5224597946822005,
2007-08-01,362475,381550,,,14564.117,27350673.0,2.4888223570299526,1.3252873155991445,
2007-09-01,359104,377364,,,14564.117,27350673.0,2.4656764292679054,1.3129622075478729,
2007-10-01,376979,392543,,,14715.058,26300299.0,2.561858743608078,1.4333639324784864,
2007-11-01,379593,426721,,,14715.058,26300299.0,2.5796228597943687,1.4433029829812962,
2007-12-01,355292,456353,,,14715.058,26300299.0,2.414479100252272,1.3509047938960694,
2008-01-01,365592,474496,,,14706.538,24040417.0,2.4859147679759848,1.5207390121394317,
2008-02-01,377088,454785,,,14706.538,24040417.0,2.564084082875249,1.5685584821594398,
2008-03-01,349419,488831,,,14706.538,24040417.0,2.375943270945208,1.4534648047078385,
2008-04-01,332303,472371,,,14865.701,23353159.0,2.235367171719652,1.4229466771497594,
2008-05-01,341610,470188,,,14865.701,23353159.0,2.2979743773939756,1.462799957812988,
2008-06-01,346892,499634,,,14865.701,23353159.0,2.3335058333273353,1.48541788286544,
2008-07-01,343297,519226,,,14898.999,20764175.0,2.3041615077630384,1.6533139409584057,
2008-08-01,324814,530042,,,14898.999,20764175.0,2.180106193711403,1.5643000504474653,
2008-09-01,345745,381702,,,14898.999,20764175.0,2.320592141794224,1.665103477503922,
2008-10-01,277568,383429,,,14608.209,16480363.0,1.9000823441121357,1.6842347465283378,
2008-11-01,227334,364232,,,14608.209,16480363.0,1.5562071982951504,1.3794234993488916,
2008-12-01,210185,345713,,,14608.209,16480363.0,1.4388142995489728,1.2753663253655274,
2009-01-01,205007,316763,,,14430.902,14675995.0,1.420611130198237,1.396886548407791,
2009-02-01,199655,310503,,,14430.902,14675995.0,1.3835240513725338,1.3604188336123038,
2009-03-01,203967,291927,,,14430.902,14675995.0,1.4134043734757538,1.3898001464295948,
2009-04-01,208010,285658,,,14381.236,17265422.0,1.4463986266548994,1.204777966041027,
2009-05-01,214401,275313,,,14381.236,17265422.0,1.4908384786954334,1.2417941478638634,
2009-06-01,217140,283874,,,14381.236,17265422.0,1.5098841295699479,1.257658225787936,
2009-07-01,228734,277082,,,14448.882,20170679.0,1.5830567375385862,1.1339925641571114,
2009-08-01,236251,281989,,,14448.882,20170679.0,1.635081523954587,1.1712595297362076,
2009-09-01,254107,287196,,,14448.882,20170679.0,1.758662019663528,1.259784065771906,
2009-10-01,265404,299858,,,14651.249,21007614.0,1.811476960087157,1.263370509378171,
2009-11-01,250988,284071,,,14651.249,21007614.0,1.7130826184170376,1.1947477709748475,
2009-12-01,262399,281043,,,14651.249,21007614.0,1.790966763311442,1.249066171912717,
2010-01-01,266455,281035,,,14764.61,22060171.0,1.8046870184854187,1.2078555510743776,
2010-02-01,263657,106131,164624.0,270755.0,14764.61,22060171.0,1.785736297809424,1.1951720591830408,0.9737844176469502
2010-03-01,277798,108908,162169.0,271077.0,14764.61,22060171.0,1.8815126169942857,1.2592740101606648,1.0247936933048543
2010-04-01,295550,111217,160630.0,271847.0,14980.193,19870357.0,1.972938532901412,1.4873914947778744,1.087192428093744
2010-05-01,268566,114051,166706.0,280757.0,14980.193,19870357.0,1.7928073423353093,1.351591217007324,0.9565781084710265
2010-06-01,263202,114265,172908.0,287173.0,14980.193,19870357.0,1.7570000600125777,1.32459623146177,0.9165276679910715
2010-07-01,267468,106290,172179.0,278469.0,15141.607,22215197.0,1.7664439448203881,1.2039866223108442,0.9604947049761374
2010-08-01,268371,106870,174209.0,281079.0,15141.607,22215197.0,1.7724076447103665,1.2080514073316568,0.9547885114149403
2010-09-01,288540,114321,173544.0,287865.0,15141.607,22215197.0,1.9056101508908532,1.2988406089759186,1.0023448491480382
2010-10-01,303428,114784,176588.0,291372.0,15309.474,24427800.0,1.981962280350063,1.242142149518172,1.0413766593907445
2010-11-01,309340,119305,176805.0,296110.0,15309.474,24427800.0,2.020578891214682,1.266344083380411,1.0446793421363683
2010-12-01,313678,126098,182426.0,308524.0,15309.474,24427800.0,2.0489142866698096,1.2841025389105853,1.0167053454512454
2011-01-01,326868,130894,173545.0,304439.0,15351.448,25872157.0,2.1292323694807163,1.2633967859734307,1.0736732153239237
2011-02-01,348979,135760,179102.0,314862.0,15351.448,25872157.0,2.2732643852228143,1.3488593162139515,1.108355406495544
2011-03-01,355413,133386,170139.0,303525.0,15351.448,25872157.0,2.3151757410766725,1.3737277491010895,1.170951321966889
